#,Company,Symbol,Weight,Price,Change
373,WellCare Health Plans Inc.,WCG,0.050862,240.08,0.0
374,Atmos Energy Corporation,ATO,0.050626,101.51,0.0
375,Copart Inc.,CPRT,0.050441,59.03,0.0
376,Martin Marietta Materials Inc.,MLM,0.050436,193.5,0.0
377,AES Corporation,AES,0.050423,18.31,0.0
378,Masco Corporation,MAS,0.05041,38.98,0.0
379,Akamai Technologies Inc.,AKAM,0.05027,72.75,0.28
380,Quest Diagnostics Incorporated,DGX,0.050085,88.45,0.0
381,Vornado Realty Trust,VNO,0.049679,67.29,0.0
382,J.M. Smucker Company,SJM,0.049447,105.58,0.0
383,Kansas City Southern,KSU,0.049434,114.5,0.0
384,Hormel Foods Corporation,HRL,0.048943,42.56,0.0
385,Universal Health Services Inc. Class B,UHS,0.048641,134.24,0.0
386,Cabot Oil & Gas Corporation,COG,0.048471,25.93,0.0
387,Kohl's Corporation,KSS,0.048363,68.29,0.31
388,Advance Auto Parts Inc.,AAP,0.047879,154.84,0.0
389,CenturyLink Inc.,CTL,0.047774,12.1,0.01
390,Wynn Resorts Limited,WYNN,0.047756,116.2,0.41
391,Molson Coors Brewing Company Class B,TAP,0.047748,60.49,-0.33
392,Conagra Brands Inc.,CAG,0.047498,23.09,0.0
393,Eastman Chemical Company,EMN,0.047361,79.63,0.99
394,Regency Centers Corporation,REG,0.046724,64.76,0.0
395,Tractor Supply Company,TSCO,0.046281,89.46,0.0
396,Alliant Energy Corp,LNT,0.046231,47.4,0.0
397,DENTSPLY SIRONA Inc.,XRAY,0.04606,48.9,-0.19
398,Duke Realty Corporation,DRE,0.045971,30.57,0.0
399,Noble Energy Inc.,NBL,0.045873,23.1,0.0
400,Raymond James Financial Inc.,RJF,0.045454,81.89,0.0
401,CarMax Inc.,KMX,0.045305,60.52,-0.54
402,Cboe Global Markets Inc,CBOE,0.044756,97.06,0.0
403,Pinnacle West Capital Corporation,PNW,0.044637,96.15,0.0
404,Jack Henry & Associates Inc.,JKHY,0.044412,137.24,0.0
405,Take-Two Interactive Software Inc.,TTWO,0.044326,93.35,-0.2
406,Tiffany & Co.,TIF,0.043922,97.15,0.59
407,National Oilwell Varco Inc.,NOV,0.04331,26.48,0.0
408,FMC Corporation,FMC,0.043301,77.16,-0.08
409,PerkinElmer Inc.,PKI,0.042969,94.04,0.0
410,NiSource Inc,NI,0.042703,27.89,0.0
